score;content;label
1;Apk buruk ini cuma mau ambil data kita aja verifikasi muter sana muter sini data dah masuk verifikasi selalu gagal dan saya ulang lagi 3x ada peringatan anda tidak dapat menggunakan nomer ini karena sudah di pakai pengguna lain Lah???? Kan yang gunain gue blok;negatif
2;Fitur yang disediakan cukup berguna, namun tidak luar biasa.;netral
1;Notioikasinya terlalu sering numpuk di email menjadi penuh;negatif
5;Orang Pintar/Cerdas itu Banyak, Orang Baik juga Banyak, Tapi...Orang Yang BENAR tidaklah mudah didapat, Hebatlah jika Orang bisa hidupnya Bermanfaat untuk semuanya, Aamiin.;netral
5;Mempengaruhi peluang pekerjaan;positif
5;apakah ada lowongan developer python?;netral
3;Aplikasi Lucu, dia bilang gratis uji coba satu bulan. eh giliran mau nyoba dia minta transfer. jangan bohoong lah. kalau gak gratis uji coba ya bilang aja dari awal;negatif
5;Semua sayah coba Pernah belajar sepakbola;netral
5;Good jd bnyak tau orang dan cari pekerjaan maupun persiapan skill lebih jelas untuk kedepannya, thanks linkedin, Yang baca ini Do'akan saya ya bisa kedepannya kerja di Arab, agar bisa lebih sering solat di 2 masjid besar buat nebus dosaku yang besar banget. Aamiin;positif
1;Gk jelas bet gk bisa di apus sekali di apus trs tinggal mlh gk ke uninstal mlh hrs update gak jelas banget!;negatif
1;Kox ga bisa masuk yh??? Lewat email ga bisa masuk, masa salah paswort terus padahal udah bener, masuk lewat fb ga bisa, ini gmn apl nya;negatif
4;Sekedar info untuk yang baru install,sebaiknya login pakai link sekali pakai..saya awalnya coba login pakai google account tapi jadi capek sendiri karena harus terus2an isi captcha padahal saya sudah mengisi dengan benar;negatif
1;Saya kemarin datangin lowongan kerja yg ada di Linkedln tapi ternyata pas didatangi kantor itu semacam calo, dan bsa menyalurkan tapi harus membayar uang sebesar 1,1jt, dan setelah saya setujui untuk mbayar karena butuh pekerjaan, tapi nyatanya sampai sekarang saya masih menganggur belum di kasih pekerjaan yang dijanjikan sesuai domisili, yg ada saya malah ditawari kerjaan yg diluar domisili saya. Sangat jauh dan berbeda dengan perjanjian awal,dan tidak seperti yg tercantum diiklan Linkedln nya.;negatif
1;Mau klik pekerjaan tiba-tiba keluar aneh bgt;negatif
1;Aplikasi tolol, mau login aja susah bgt;negatif
1;Iklan menggangu;negatif
5;LinkedIn. Sudah sangat bagus, mohon ditingkatkan lagi untuk fitur-fitur menariknya ðŸ¤ðŸ‘.;positif
5;Sangat membantu cari loker, terimakasih!;positif
5;Aplikasi LinkedIn sangat bagus buat yg cari kerja. Terimakasih LinkedIn;positif
2;LinkedIn bisa jadi tempat yang baik buat networking, tapi gak banyak yang aktif sih;netral
1;Saya mengalami bug tidak bisa login setelah mengisi recaptcha, tertulis invalid atau gagal. Padahal jawaban sudah benar semua dan itu terjadi secara berulang;negatif
3;Aplikasi ini cukup baik, tidak ada masalah berarti.;netral
5;Good lah.sangat mudah digunakan untuk referensi dan mencari teman;positif
5;Aplikasi LinkedIn sangat membantu saya karena bisa berkomunikasi secara langsung mengenai kabar berita apapun;positif
4;Aplikasi sudah baik namun perlu pengembangan dalam fitur lanjutan;positif
5;Apps yg berguna untuk cari temen, dan nqmbah channel... peluang kerjanya jg bagus krn ga semua otng tau;positif
4;Secara keseluruhan, aplikasi ini memenuhi kebutuhan dasar saya.;netral
4;Banyak fitur di LinkedIn bagus, cuma gak semuanya gampang dipaham;netral
3;Mengapa harus jadi premium untuk bisa chat orang?;negatif
1;aplikasi ribet, tampilan membingungkan;negatif
5;Sangat bermanfaat buat saya dalam menjalin relasi dan komunikasi positif;positif
3;info loker daerah bandung ;netral
2;Mau login tp waktu masukkan kata sandi selalu balik otomatis ke halaman awal, jadiya gabisa login;negatif
3;Tombol back pada hp membuat kembali ke tampilan awal, bukan halaman sblmnya. Mohon diperbaiki. Sehingga kita tidak perlu input jenis pekerjaan + berbagai filternya;negatif
5;ngak tau dengan alasana apa sy sering di tolak dengan aplikasi lain...padahal semua data yg kasih udah benar.;netral
4;LinkedIn kadang sulit diakses, tapi kalau udah login jadi gampang cari info;netral
1;Aplikasi sampah, padahal penting banget loh. Ini coba login akun lagi, tapi terkendala proses verif security check nya (yanh gambar kuda gak jelas). Dicoba selalu gagal, padahal udah sesuai arahan dan benar. Blokkk;negatif
5;Aplikasi Profesional paling relevan buat kaum milenial sangat up to date dengan informasi terkini di dunia bisnis,ilmu pengetahuan, dan mancanegara;positif
3;Kadang LinkedIn merasa berat banget, tapi overall masih oke lah;netral
5;Semakin mudah temukan tujuan dengan tetap terdukung penuh dan selalu berhasil sangat memuaskan serta penuh keberuntingan;positif
1;Susah untuk login, minta kode verifikasi gak di kirim;negatif
1;Aplikasi Taii, mau login aja susah, kudu verifikasi2 gk jelas, ujung2nya eror pula. Boro2 mau dapet kerjaan, login aja ruwet;negatif
4;saya seorang drever bus di kerajaan saudi tinggal di propinsi jeddah daerah hamdaniah 7/8 tahun yang lalu. gaji bulanan sangat minim banget walo begitu sy tetap bertahan saya liat buat kedepan nya saya harus mengerti cara mengatur bus di musim kerja juga saya pelajari terus yg nama nya cara kerja dengan travel umrah n haji ini. saya pelajari dari semua travel umrah cara pelayanan yg baik buat jamaah nya. alhamdulillah sy bersukur bangeut bisa seperti ini..............terimakasih....buat....;netral
5;Aplikasi sosial media para profesional;positif
5;Aplikasix sngat bagus, untuk mebantu orang dpat informasi soal pekerjaan. 5 bintang buat aplikasi ini. ðŸ˜‡;positif
5;Saya pernah menggunakan aplikasi ini. Sebenarnya aplikasi ini bermanfaat bagi orang yang sedang mencari pekerjaan. Hanya saja aplikasi ini tidak bisa membantu secara real. Maksud saya tidak bisa menyalurkan seseorang untuk bisa sampai tahap bekerjanya. Aplikasi ini hanya memberikan informasi pekerjaan diseluruh dunia....tapi akan saya coba sekali lagi untuk menggunakannya.;netral
5;Aplikasi Linkedln ini bagus sekali meyempurnakan koneksi jaringan saya dimanapun saya berada;positif
5;Mohon maaf untuk langganan linkledin saya batalkan.karena keadaan perusahaan tidak jalan/ macet, Sekali lagi mohon maaf. Terima kasih atas informasinya.. Sugi..;netral
1;Lowongan kerja yang sudah tidak aktif/kadaluarasa tolong jangan di iklankan lg,agar dapat selalu update;negatif
1;Maaf dengan terpaksa saya uninstal..saya di suruh masukan posisi pekerjaan terbaru..setelah saya masukan..tetap aja tidak bisa masuk..i hate..;negatif
1;Jujur, saya sangat kecewa menggunakan aplikasi ini. Akun saya bisa dibobol oleh orang lain sehingga data pribadi saya bocor. Data verifikasi gak jelas. Nama saya di ubah menjadi Isabelle. Ini membuktikan bahwa akun saya sudah dibobol orang lain. Dulu aplikasi ini sangat bagus sekarang jadi sampah.;negatif
5;Untuk yang susah relogin di linkedIn nya mohon bapak/ibu , saudara/i untuk login pake vpn terlebih dahulu. saya sudah moncobanya dan work it..sebelumnya saya juga susah buat login karena tiba tiba log out sendiri akunku.ðŸ™ Saya hanya membantu teman2;netral
5;â€¢ Mencari orang, pekerjaan, perusahaan, dan grup di LinkedIn â€¢ Mendapatkan update dari orang-orang, penerbit, dan perusahaan yang penting demi kesuksesan karier profesional Anda â€¢ Menunjukkan diri Anda dalam profil profesional Anda dan membangun brand profesional Anda â€¢ Memperbarui profil profesional langsung dari dalam aplikasi untuk menyempurnakan resume Anda â€¢ Mengembangkan jaringan profesional Anda dan terus terhubung â€¢ Terhubung dengan orang-orang dan melihat profil profesional mereka;netral
5;nyari kerja remote;netral
5;Sangat membantu dan menarik menurut saya pribadi kita bisa sharing informasi dan tau berita ter update di dunia Oil&gas khususnya saya pribadi. Nice..Very Nice cheers for you all;positif
5;Saya telah menggunakan LinkedIn selama beberapa tahun sekarang, dan saya harus mengatakan bahwa ini adalah aplikasi yang benar-benar luar biasa untuk para profesional. Sebagai seorang pengulas profesional, saya melihat LinkedIn sebagai platform yang tak tertandingi dalam membantu memperluas jaringan profesional dan mencari peluang karir yang menarik.;positif
3;Gak bisa masuk, ini bagai mana ya cara ny kok ribet amat buat masuk applikasi aja susah,udah lamaran susah, nyari susah,di tambah lagi applikasi yang ribet masuk;negatif
5;Membuat kami mudah melar kerja;positif
4;Tolong perbaiki saat verifikasi kode CAPTCHA saat masuk diaplikasinya, saat verifikasi captcha selalu salah atau terjadi error padahal sudah benar dan sudah dicoba puluhan kali namun tetap saja sulit masuk kedalam akunnya. Pohon segera diberbaiki Terimakasih!;negatif
5;Sangat membantu dalam mencari pekerjaan dan pengetahuan serta menyalurkan ilmu, usaha, bakat yang dapat mempermudah setiap orang diseluruh dunia untuk setiap individu yang maju, tangguh yang berkepribadian kuat.;positif
4;Memudahkan z bisa terhubung dengan teman,relasi dan pejuang pencari kerja untuk bisa mendapatkan informasi lebih banyakðŸ™;positif
5;Pas untuk menambah info job dan bisa menjadi patokan untuk upgrade skill;positif
5;Sangat membantu buat perkembangan;positif
1;Haloo LinkedIn, kenapa pencarian yg saya lakukan selalu yg muncul berita berita atau postingan dari India, padahal saya tidak punya teman atau menyukai postingan dari negara India;negatif
5;Sangat baik,membantu memberi ruang para pencaker dan recruiter untuk saling berkoneksi;positif
1;saya sdh 2 x 24 Jam untuk login kembali, namun juga tdk bisa login karena saat ini smentara tdk diaktifkan oleh Linkedln. tolong untuk diaktifkan kembali, karena saya sdh 3 kali ganti password, mohon segera utk direspon. makasih;negatif
5;Sangat membantu;positif
3;Kenapa tidak bisa instal update terbaru? Saya tidak bisa refresh feed di app linkedin yg lama;negatif
1;Lemot banget mau update doang. Pdhl jaringan inet oke;negatif
2;Saya merasa aplikasi ini cukup baik untuk digunakan sehari-hari.;netral
5;aplikasi wajib buat org2 yg punya usaha/ jualan tuh ya gopay merchant;positif
5;Thanks for aplikasi linkedIn karena telah menjadi perantara menuju hidup cemerlang.;positif
1;Iklannya mengganggu aja;negatif
5;Luar biasa! Saya mendapatkan rekan Seniman lukis dari luar negara dan kami bisa saling berbagi kultur, tradisi, dan budaya masingÂ² selain tentu berbagi info seputar Seni Rupa.;positif
1;Gak bisa login padahal captcha udah bener. Mohon di perbaiki. Udah terlalu banyak yg ngasih bintang 1;negatif
1;Aplikasinya makin sampah untuk login aja verifikasi nya sulit bngt tidak valid mulu, tolong untuk diperbaiki;negatif
1;Perlu gunakan program inovasi tingkat tinggi PANCANOMICS untuk upgrade kualitas.;netral
5;Aplikasi sosial media yang sangat positif, mudah-mudahan bisa terjaga seterusnya.;positif
3;Di LinkedIn banyak orang yang konek, tapi kadang susah banget buat ngobrol lebih lanjut;netral
4;Beberapa fitur berguna, namun keseluruhan aplikasi cukup standar.;netral
5;Sangat memuaskan untuk pencari kerja, baik lokal maupun luar negri.;positif
5;Keren lah walaupun buat orang berpendidikan yang paham, gue mah liat-liat doang!;positif
1;gabisa loginnn harus verifikasi dulu pake gambar tapi tetep gabisa. terus langganan nya mahal banget ðŸ« ðŸ« ðŸ« . tolong ini kenapa yaaa linked ko gabisa login, eror tah?;negatif
5;Bagus sekali. Saya kira cuman buat nyari kerja aja. Tapi bisa buat ngebangun resume kita agar menarik. Selain itu banyak fitur lainnya juga. Saya berharap bisa mengakses fitur fitur baru lainnya dan tolong di gratis kan atau jangan terlalu besar cost untuk premium nya;positif
1;Akun diban sementara disuruh verifikasi identitas tapi gagal. Mau verifikasi lagi gak bisa;negatif
5;D bidang teknik industri.kontruksi dan engenering;netral
5;Sangat membantu untuk mendapatkan informasi lowker.;positif
1;Kenapa semua akun saya di nonaktifkan. Bahkan akun yang kemaren saya buat juga di nonaktifkan. Sangat mengecewakan.;negatif
3;LinkedIn itu tempat yang oke sih buat network, cuma kadang terlalu banyak spam;netral
5;Sangatlah membantu dalam mencari pekerjaan karena banyak orang hebat penguna aplikasi ini;positif
1;Linkedin sekarang gak fungsi, gak ada yang dapet panggilan dari lowongan di linkedin setelah melamar ratusan sama kayak jobstreet, cuma mau curi data aja, iklannya palsu;negatif
3;Aplikasi yang luar biasa. Aplikasi yang dapat membawa Anda go internasional, go world wide hanya dalam beberapa saat. Luar biasa!;positif
5;Pilihan lowongan kerjanya banyak. Komplit, jelas, terpercaya. Mantap!;positif
3;Misi nih kok saya udah coba buat akun beberapa kali, selalu gagal ya. Padahal udah saya uninstall trs install lagi tetep sama. Mohon konfirmasi nya;negatif
5;Lumayan bagus lah. Bisa menyusun CV juga dengan fitur yang ada disini. Dan alhamduliLLAh sekarang saya bisa mendapat pekerjaan menjadi wartawan... Keep the Good Job, guys..!!! ðŸ’ªðŸ‘ŠðŸ‘;positif
1;Daftar buat bikin akun aja di persulit,, padahal udah bener klik gambar itu malah di salahin pas pilihan terakhir;negatif
5;Bagus ok mantap;positif
1;Tidak bisa login, kayaknya verifikasi persona nya ada bug, karna tidak bisa verifikasi data, padahal udah sesuai ðŸ¥², jadinya saya tidak bisa pakai aplikasinya;negatif
3;Min mohon bantuannya kenapa di profil saya tidak ada opsi pengalaman ya min?, jadinya pengalaman saya ga mau muncul di profil;negatif
1;akun saya ditambahkan email yang tidak saya kenal, saya juga tidak bisa login karena tidak pernah mendapat notifikasi 6 digit di email. saat verifikasi harus mengulang terus, data saya apakah sudah dicuri ? tolong diperbaiki;negatif
5;BER UPAYA MENINGKATKAN ASPIRASI PUBLIK' @ DELTA AU.;netral
5;Sangat bermanfaat dan banyak sekali terkoneksi dengan berbagai kalangan Masyarakat dan Pelaku Bisnis;positif
4;Visualisasi halamannya masih harus diperbaiki dan ditingkatkan;negatif
5;Sangat membantu dalam membangun jaringan;positif
2;Saya jarang update status di LinkedIn, tapi tetap buka buat cek lowongan;netral
5;Membantu saya dalam hal mencari pekerjaan..;positif
5;Sangat terbantu dengan hadirnya aplikasi ini, lebih mudah mengupgrade diri serta membranding perusahaan kecil kami.;positif
1;Ini apl muncul trs di game yg gw mainin. Dan susah bnget di skip walopun ad tanda X nya;negatif
1;Aplikasi kurang memuaskan dalam mencari kerjaan;negatif
5;Aplikasinya bagus untuk nyari kerja. Pokoknya the best lah linkedin;positif
5;Bintang 1000, menjadikan perjalanan karir dengan cara yang mudah dan menyenangkan;positif
1;didownload sudah tiba dibuka download nya balik lg, gitu2 mulu mending didelete.;negatif
1;Tolong diperbaiki lagi karena masih sangat banyak masalah. Mulai dari Upload foto banner tapi malah lari ke foto profile, masalah login dan lain sebagainya;negatif
1;ga masuk akal, udah verifikasi dengan benar tapi akun saya dibatasi?! mana 2 akun lagii. gimana sih?!;negatif
5;Info loker bos!!!;netral
1;Tidak ada panduan, lalu untuk filter tempat yg diinginkan blm mencapai seluruh bagian terpencil.;negatif
1;Hallo, bisa bantu saya untuk menghubungi no kontak Yg ada bisa bantu komen;netral
5;Aplikasi paling positive... Buat yg mau apply job bisa download aplikasi ini. Bisa juga untuk mengembangkan ilmu pengetahuan dan yg ingin tau seputar dunia kerja. I love this so much.. ðŸ’•ðŸ‘Œ;positif
1;Aplikasi jelek mau login aja loading terus;negatif
1;Verifikasi id/sim lama banget asli. Udah dikirim prosesnya LELET BANGET!;negatif
4;Saya berharap aplikasi ini dapat berkembang lebih baik dan saya berharap bahwa aplikasi ini menambah beberapa fitur seperti pencarian magang untuk murid SMA dan yang sederajat , sekian terima kasih;positif
1;Maaf aplikasi sampah, tidak lebih seperti facebook, isinya cuma HRD yang nyampah tidak jelas setiap hari, aplicant palsu, apk ini sama sekali tidak membantu. Dear perusahaan kalau mau promote lebih baik pakai sosmed lain.;negatif
1;Padahal sudah mematuhi kebijakan dengan baik. Tiba-tiba akun saya tersuspend sendiri. Kerja keras saya menjadi sia-sia.;negatif
5;Bagus banget aplikasinya, saya sarankan buat para kaum muda, LinkedIn ini penting banget bahkan kalo bisa semenjak anda liat postinganku ini langsung bikin terus buat personal branding kamu ya;positif
5;Bagus sekali, banyak peluang dan tawaran untuk memilih, tinggal keberanian saja;positif
5;Saya bekerja secara profesional. Teamwork. Baik mandiri maupun secara team, saya mampu berkomunikasi dengan baik;netral
5;Situs khusus untuk pencari kerja dan pencari pekerja. Yang berkomunikasi dan berinteraksi langsung. Bagus dan perlu.;positif
5;Tolong kembalikan saldo DANA saya, saya tidak pernah merasa berlangganan !! Tanpa konfirmasi main potong aja !! Jumlahnya 1.116.000 Tolong kembalikan !!!!;negatif
3;Sy kasih bintang 3 dulu, saya belum mendapatkan job dari sini. Apakah kalo mau apply harus berlangganan yg premium min, soalnya ada beberapa info loker yg di posting saat saya mau apply diarahkan ke situs lain, dimna kita harus sign up dulu di situs tersebut, masukan min mungkin bisa sedikit di permudah apply lamaran kerja;netral
3;Saya coba connect sama banyak orang di LinkedIn, tapi jarang dibalas;netral
5;Terimakasih, berkat LinkedIn saya bisa dengan mudah mencari kerja & mendapatkan koneksi, sekarang saya sudah bekerja berkarir sesuai jurusan kuliah saya.;positif
5;Dikasih bintang 5 biar dinotice. Konfirmasi gambar mbe yg hadap keatas ini sulit sekali menurut saya memang sih unik tapi emang bikin emosi bagi org yg gatau.;negatif
5;bagus tapi sayang ga ada loker yang di posting buat SLTA ,sedih liat kenyataan di apk linkedIn , kudu S1 wae ðŸ™‰;netral
4;Tiba2 akun lama hilang login pakai email lama harus verikasi lagi;negatif
